"code_lac" "camp_annee" "id_campagne" "date_pose"
"MIE32" 2014 367 "2014-06-23"
"MIE32" 2017 502 "2017-06-12"
"MON38" 2009 145 "2009-08-24"
"MON38" 2017 467 "2017-08-21"
"MON63" 2005 42 "2005-09-19"
"MON63" 2012 380 "2012-08-27"
"MON71" 2008 91 "2008-06-16"
"MON71" 2013 358 "2013-09-09"
"MON71" 2018 508 "2018-06-18"
"MON74" 2006 114 "2006-09-27"
"MOU52" 2008 65 "2008-09-01"
"NAN01" 2008 84 "2008-10-20"
"NAN01" 2013 350 "2013-10-21"
"NAN01" 2019 549 "2019-09-16"
"NAU48" 2012 303 "2012-09-17"
"NAU48" 2019 541 "2019-06-17"
"NDC38" 2008 81 "2008-07-07"
"ORX40" 2010 304 "2010-09-08"
"OSP2A" 2009 147 "2009-06-20"
"OSP2A" 2014 417 "2014-06-24"
"OUE35" 2010 228 "2010-09-30"
"PAL07" 2012 375 "2012-09-24"
"PAL38" 2011 305 "2011-09-20"
"PAL38" 2017 468 "2017-09-25"
"PAN21" 2008 92 "2008-07-28"
"PAR12" 2013 339 "2013-06-09"
"PAR12" 2019 542 "2019-09-09"
"PAR40" 2008 69 "2008-09-22"
"PAR40" 2015 448 "2015-09-21"
"PAR54" 2008 66 "2008-10-01"
"PAR54" 2014 410 "2014-10-01"
"PAV63" 2005 43 "2005-09-21"
"PAV63" 2012 306 "2012-09-17"
"PAV63" 2018 535 "2018-09-24"
"PDF44" 2010 229 "2010-09-23"
"PET38" 2008 82 "2008-08-26"
"PET38" 2015 429 "2015-09-21"
"PIR03" 2010 230 "2010-09-20"
"PON21" 2011 307 "2011-05-23"
"PON21" 2019 538 "2019-06-24"
"POU31" 2011 308 "2011-08-10"
"POU31" 2015 450 "2015-07-29"
"POU43" 2011 368 "2011-06-28"
"PPE14" 2008 100 "2008-09-16"
"PPE14" 2016 454 "2016-09-12"
"PRA33" 2009 148 "2009-09-22"
"PRA66" 2006 44 "2006-07-24"
"PRO44" 2010 231 "2010-09-22"
"PUI18" 2011 309 "2011-09-19"
"PUI18" 2018 533 "2018-08-27"
"PUY48" 2008 54 "2008-09-13"
"QUI04" 2011 310 "2011-10-03"
"RAB61" 2009 149 "2009-10-06"
"RAB61" 2017 469 "2017-09-06"
"RAV34" 2011 311 "2011-06-27"
"RAV34" 2017 483 "2017-06-19"
"RBJ35" 2009 312 "2009-08-03"
"RBO63" 2014 361 "2014-09-22"
"RCB01" 2010 232 "2010-06-29"
"RCE35" 2009 313 "2009-08-31"
"RCM01" 2008 80 "2008-06-16"
"RCS70" 2011 314 "2011-05-30"
"RDC23" 2008 103 "2008-08-25"
"RDV35" 2009 315 "2009-09-14"
"REA13" 2008 78 "2008-08-27"
"REM25" 2009 150 "2009-07-21"
"REM25" 2016 443 "2016-07-25"
"RFB63" 2006 20 "2006-09-25"
"RFB63" 2013 356 "2013-06-24"
"RFB63" 2019 540 "2019-06-24"
"RIN53" 2010 233 "2010-09-22"
"RIV35" 2008 110 "2008-10-06"
"RKU22" 2008 112 "2008-09-25"
"RLB11" 2008 76 "2008-09-29"
"RMC73" 2011 316 "2011-08-29"
"RMN29" 2008 113 "2008-09-23"
"RMP85" 2009 151 "2009-07-01"
"ROC03" 2010 234 "2010-09-13"
"ROC03" 2016 457 "2016-09-12"
"ROC85" 2009 152 "2009-07-08"
"ROC85" 2011 373 "2011-09-12"
"RPR71" 2008 93 "2008-06-23"
"RSM87" 2013 353 "2013-08-26"
"RST35" 2009 317 "2009-08-24"
"RSV34" 2008 56 "2008-10-14"
"RTN71" 2006 331 "2006-08-21"
"RTN71" 2010 235 "2010-09-13"
"RTV71" 2008 95 "2008-08-25"
"RVH22" 2009 318 "2009-08-10"
"SAL34" 2016 487 "2016-06-27"
"SAR15" 2008 319 "2008-09-01"
"SAU38" 2009 320 "2009-10-05"
"SAU38" 2015 427 "2015-08-24"
"SCA83" 2007 12 "2007-08-26"
"SCA83" 2013 393 "2013-10-14"
"SCA83" 2019 545 "2019-10-07"
"SCR04" 2009 154 "2009-09-21"
"SCR04" 2013 394 "2013-09-16"
"SCR04" 2019 546 "2019-09-23"
"SEC15" 2008 116 "2008-09-29"
"SEC15" 2016 464 "2016-07-03"
"SEI10" 2008 115 "2008-06-18"
"SEI10" 2013 407 "2013-08-19"
"SER63" 2012 381 "2012-07-30"
"SET58" 2012 255 "2012-09-10"
"SET58" 2018 510 "2018-09-10"
"SFP53" 2006 16 "2006-08-09"
"SID18" 2009 155 "2009-07-20"
"SID18" 2016 437 "2016-07-04"
"SIL85" 2009 156 "2009-07-06"
"SIL85" 2011 374 "2011-08-29"
"SMI29" 2006 21 "2006-10-09"
"SOR71" 2008 94 "2008-08-05"
"SOR71" 2015 422 "2015-09-08"
"SOU40" 2005 57 "2005-08-17"
"SOU40" 2012 321 "2012-10-08"
"SPA87" 2012 322 "2012-08-27"
"SPO04" 2011 323 "2011-09-19"
"SPO04" 2017 484 "2017-09-18"
"SPO25" 2009 157 "2009-07-06"
"SPO25" 2015 423 "2015-09-14"
"SYL01" 2008 83 "2008-09-15"
"SYL01" 2014 347 "2014-08-25"
"TAI40" 2011 324 "2011-06-20"
"TAI40" 2016 478 "2016-06-20"
"TOL2A" 2007 11 "2007-09-16"
"TOL2A" 2013 395 "2013-09-30"
"TOL2A" 2018 516 "2018-09-24"
"TOR82" 2011 325 "2011-06-14"
"TOR82" 2016 433 "2016-07-11"
"TOU27" 2008 101 "2008-07-15"
"TOU79" 2007 332 "2007-07-23"
"TOU79" 2010 236 "2010-08-30"
"TOU79" 2016 438 "2016-08-29"
"TRA02" 2012 247 "2012-06-18"
"TRE19" 2010 237 "2010-08-30"
"TRI19" 2009 158 "2009-09-14"
"TSC32" 2010 326 "2010-10-03"
"TSC32" 2015 451 "2015-07-30"
"UBY32" 2010 327 "2010-10-29"
"UBY32" 2016 479 "2016-10-03"
"VAL39" 2010 238 "2010-09-14"
"VAL39" 2013 359 "2013-09-16"
"VAL39" 2016 444 "2016-09-27"
"VAL45" 2007 26 "2007-09-24"
"VAL45" 2012 257 "2012-09-17"
"VAS87" 2013 354 "2013-09-09"
"VAU58" 2012 256 "2012-10-02"
"VEN27" 2012 248 "2012-09-25"
"VEZ50" 2010 239 "2010-09-20"
"VFO08" 2008 67 "2008-09-15"
"VFO08" 2014 411 "2014-09-15"
"VIG59" 2010 240 "2010-09-21"
"VIG59" 2017 470 "2017-09-13"
"VIL12" 2010 328 "2010-09-03"
"VIL12" 2015 452 "2015-07-27"
"VIL42" 2006 14 "2006-09-11"
"VIL42" 2013 351 "2013-09-23"
"VIL52" 2013 408 "2013-09-02"
"VIN66" 2009 159 "2009-07-06"
"VIO44" 2006 15 "2006-08-07"
"VOU39" 2008 96 "2008-10-06"
"VOU39" 2014 366 "2014-09-01"
"VVE70" 2008 89 "2008-05-19"
